Name of the frogs,Genus,Size,Habitat,Type Locality,Localities,Where to Look,Key Features,IUCN Status,Endemic/Non Endemic
Beduka amboli,Beduka,3.5 - 4.5 cm,Forest streams in the Western Ghats,"Amboli, Maharashtra, India","Amboli, Maharashtra","Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Beduka koynayensis,Beduka,3.5 - 5 cm,Forested areas near streams,"Koyna, Maharashtra, India","Koyna Wildlife Sanctuary, Maharashtra",Near streams in dense forests,Brownish coloration with distinct dorsal ridges,Data Deficient,Endemic to the Western Ghats
Blaira ornata,Blaira ,5 - 7 cm,Forest streams,"Kerala, India","Kerala, Southern Western Ghats",Along forest streams,"Large size, ornately patterned",Least Concern,Endemic to the Western Ghats
Blaira rubigina,Blaira ,5 - 7 cm,Evergreen forests,"Agasthyamala Hills, Tamil Nadu, India","Agasthyamala Hills, Tamil Nadu","In dense, moist forests",Reddish-brown with darker spots,Vulnerable,Endemic to the Southern Western Ghats
Duttaphrynus beddomii,Duttaphrynus,6 - 8 cm,"Forests, plantations","Kerala, India","Kerala, Tamil Nadu","Forest floors, plantations","Robust body, warty skin",Least Concern,Endemic to the Western Ghats
Duttaphrynus brevirostris,Duttaphrynus,5 - 6.5 cm,Forests,"Assam, India","Assam, Northeastern India",Forest undergrowth,"Short snout, warty skin",Least Concern,Non Endemic
Duttaphrynus melanostictus,Duttaphrynus,7 - 10 cm,"Urban areas, forests","Java, Indonesia",Across South and Southeast Asia,"Urban areas, near water bodies",Black-spotted toad,Least Concern,Non Endemic
Duttaphrynus microtympanum,Duttaphrynus,5 - 7 cm,Montane forests,"Kerala, India",Southern Western Ghats,Forest floor in montane regions,"Small tympanum, warty skin",Near Threatened,Endemic to the Western Ghats
Duttaphrynus parietalis,Duttaphrynus,5 - 6 cm,"Grasslands, forests",Sri Lanka,"Southern India, Sri Lanka",Open areas in forests,Prominent parotoid glands,Least Concern,Non Endemic
Duttaphrynus scaber,Duttaphrynus,6 - 8 cm,"Forests, gardens","Tamil Nadu, India","Tamil Nadu, Kerala","Gardens, forest floors",Rough warty skin,Least Concern,Endemic to Southern India
Duttaphrynus silentvalleyensis,Duttaphrynus,3.5 - 4.5 cm,Forest streams in the Western Ghats,"Silent Valley National Park, Kerala, India","Silent Valley National Park, Kerala; Western Ghats","Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Pedostibes tuberculosus,Pedostibes,3.5 - 4.5 cm,Forest streams in the Western Ghats,"Amboli, Maharashtra, India","Amboli, Maharashtra; Western Ghats","Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Euphlyctis cyanophlyctis,Euphlyctis,5 - 7 cm,"Ponds, lakes, and rice fields",India,"India, Pakistan, Nepal, Bangladesh, Sri Lanka, and Myanmar",Near water bodies,Green with blue spots on the flanks,Least Concern,Native to India
Euphlyctis jaladhara,Euphlyctis,5 - 7 cm,"Ponds, lakes, and rice fields",India,"India, Nepal, Bangladesh, and Myanmar",Near water bodies,Green with blue spots on the flanks,Least Concern,Native to India
Hoplobatrachus crassus,Hoplobatrachus,7 - 9 cm,"Ponds, lakes, and rice fields",India,"India, Nepal, Bangladesh, and Myanmar",Near water bodies,Brown with dark spots and a prominent tympanum,Least Concern,Native to India
Hoplobatrachus tigerinus,Hoplobatrachus,10 - 15 cm,"Ponds, lakes, and rice fields",India,"India, Pakistan, Nepal, Bangladesh, Sri Lanka, and Myanmar",Near water bodies,Tiger-striped skin,Least Concern,Native to India
Minervarya brevipalmata,Minervarya,4 - 5 cm,Forest streams in the Western Ghats,"Amboli, Maharashtra, India","Amboli, Maharashtra; Western Ghats","Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Minervarya cepf,Minervarya,4 - 5 cm,Forest streams in the Western Ghats,"Amboli, Maharashtra, India","Amboli, Maharashtra; Western Ghats","Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Minervarya gomantaki,Minervarya,4 - 5 cm,Forest streams in the Western Ghats,"Goa, India","Goa, Maharashtra; Western Ghats","Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Minervarya kadar,Minervarya,4 - 5 cm,Forest streams in the Western Ghats,"Silent Valley National Park, Kerala, India","Silent Valley National Park, Kerala; Western Ghats","Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Minervarya keralensis ,Minervarya,2.5 - 3 cm,Forests and wetlands,"Kerala, India",Western Ghats,In leaf litter and near water bodies,"Small size, green with dark markings",Endangered,Endemic to the Western Ghats
Minervarya krishnan ,Minervarya,2.5 - 3 cm,Forests and wetlands,"Kollam, Kerala, India",Western Ghats,In leaf litter and near water bodies,"Small size, brown with yellowish spots",Endangered,Endemic to the Western Ghats
Minervarya manoharani,Minervarya,2 - 2.5 cm,Forests and wetlands,"Manohari, Tamil Nadu, India",Western Ghats,In leaf litter and near water bodies,"Very small size, brown with dark spots",Critically Endangered,Endemic to the Western Ghats
Minervarya marathi,Minervarya,2.5 - 3 cm,Forests and wetlands,"Maharashtra, India",Western Ghats,In leaf litter and near water bodies,"Small size, green with brown markings",Endangered,Endemic to the Western Ghats
Minervarya mysorensis,Minervarya,2.5 - 3 cm,Forests and wetlands,"Mysore, Karnataka, India",Western Ghats,In leaf litter and near water bodies,"Small size, brown with green spots",Endangered,Endemic to the Western Ghats
Minervarya neilcoxi,Minervarya,2.5 - 3 cm,Forests and wetlands,"Neil Cox, Karnataka, India",Western Ghats,In leaf litter and near water bodies,"Small size, green with dark spots",Endangered,Endemic to the Western Ghats
Minervarya pentali,Minervarya,2.5 - 3 cm,Forests and wetlands,"Penta, Karnataka, India",Western Ghats,In leaf litter and near water bodies,"Small size, brown with green markings",Endangered,Endemic to the Western Ghats
Minervarya rufescens,Minervarya,2.5 - 3 cm,Forests and wetlands,"Rufescent, Kerala, India",Western Ghats,In leaf litter and near water bodies,"Small size, reddish-brown with dark spots",Endangered,Endemic to the Western Ghats
Minervarya sahyadris,Minervarya,2.5 - 3 cm,Forests and wetlands,"Sahyadri, Maharashtra, India",Western Ghats,In leaf litter and near water bodies,"Small size, green with dark brown markings",Endangered,Endemic to the Western Ghats
Minervarya syhadrensis,Minervarya,2.5 - 3 cm,Forests and wetlands,"Sahyadri, Kerala, India",Western Ghats,In leaf litter and near water bodies,"Small size, green with yellowish spots",Endangered,Endemic to the Western Ghats
Phrynoderma aloysii,Phrynoderma,2 - 3 cm,Forests and grasslands,"Aloysii, Karnataka, India",Western Ghats,In leaf litter and near water bodies,"Small size, brown with distinct markings",Endangered,Endemic to the Western Ghats
Phrynoderma karaavali,Phrynoderma,2 - 3 cm,Forests and grasslands,"Karaavali, Karnataka, India",Western Ghats,In leaf litter and near water bodies,"Small size, brown with lighter spots",Endangered,Endemic to the Western Ghats
Phrynoderma kerala,Phrynoderma,2 - 3 cm,Forests and grasslands,"Kerala, India",Western Ghats,In leaf litter and near water bodies,"Small size, green with dark spots",Endangered,Endemic to the Western Ghats
Sphaerotheca dobsonii,Sphaerotheca,4 - 5 cm,Forests and wetlands,"Dobson, Kerala, India",Western Ghats,Near water bodies and in leaf litter,"Medium size, green with brown markings",Least Concern,Endemic to the Western Ghats
Sphaerotheca leucorhynchus,Sphaerotheca,4 - 5 cm,Forests and wetlands,"Leucorhynchus, Karnataka, India",Western Ghats,Near water bodies and in leaf litter,"Medium size, brown with white snout",Least Concern,Endemic to the Western Ghats
Micrixalus adonis,Micrixalus,2.5 - 3 cm,Forests and streams,"Adonis, Kerala, India",Western Ghats,Near fast-flowing streams and leaf litter,"Small size, brown with golden spots",Endangered,Endemic to the Western Ghats
Micrixalus candidus,Micrixalus,2.5 - 3 cm,Forests and streams,"Candidus, Karnataka, India",Western Ghats,Near streams and under leaf litter,"Small size, white with dark spots",Endangered,Endemic to the Western Ghats
Micrixalus elegans,Micrixalus,2 - 2.5 cm,Forests and streams,"Elegans, Tamil Nadu, India",Western Ghats,Near streams and leaf litter,"Very small size, brown with elegant markings",Critically Endangered,Endemic to the Western Ghats
Micrixalus frigidus,Micrixalus,2 - 2.5 cm,Cool montane forests,"Frigidus, Kerala, India",Western Ghats,"Near cool, fast-flowing streams","Very small size, brown with light spots",Critically Endangered,Endemic to the Western Ghats
Micrixalus gadgili,Micrixalus,2.5 - 3.5 cm,Forest streams in the Western Ghats,"Gadgil Ghat, Maharashtra, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Micrixalus herrei,Micrixalus,2.5 - 3.5 cm,Forest streams in the Western Ghats,"Kallar, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Micrixalus kodayari,Micrixalus,2.5 - 3.5 cm,Forest streams in the Western Ghats,"Kodayar, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Micrixalus kottigeharensis,Micrixalus,2.5 - 3.5 cm,Forest streams in the Western Ghats,"Kottigehar, Karnataka, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Micrixalus kurichiyari,Micrixalus,2.5 - 3.5 cm,Forest streams in the Western Ghats,"Kurichiyar, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Micrixalus mallani,Micrixalus,2.5 - 3.5 cm,Forest streams in the Western Ghats,"Mallya, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Micrixalus nelliyampathi,Micrixalus,2.5 - 3.5 cm,Forest streams in the Western Ghats,"Nelliyampathy Hills, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Micrixalus nigraventris,Micrixalus,2.5 - 3.5 cm,Forest streams in the Western Ghats,"Silent Valley National Park, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Micrixalus niluvasei,Micrixalus,2.5 - 3.5 cm,Forest streams in the Western Ghats,"Niluvase, Karnataka, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Micrixalus nudis,Micrixalus,2.5 - 3.5 cm,Forest streams in the Western Ghats,"Silent Valley National Park, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Micrixalus phyllophilus,Micrixalus,2.5 - 3.5 cm,Forest streams in the Western Ghats,"Silent Valley National Park, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Micrixalus sairandhri,Micrixalus,2.5 - 3.5 cm,Forest streams in the Western Ghats,"Sairandhri Hills, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Micrixalus salicola,Micrixalus,2.5 - 3.5 cm,Forest streams in the Western Ghats,"Silent Valley National Park, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Micrixalus saxicola,Micrixalus,2.5 - 3.5 cm,Forest streams in the Western Ghats,"Silent Valley National Park, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Micrixalus silvaticus,Micrixalus,2.5 - 3.5 cm,Forest streams in the Western Ghats,"Silent Valley National Park, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Micrixalus specca,Micrixalus,2.5 - 3.5 cm,Forest streams in the Western Ghats,"Silent Valley National Park, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Micrixalus splumni,Micrixalus,2.5 - 3.5 cm,Forest streams in the Western Ghats,"Silent Valley National Park, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Micrixalus spelunca,Micrixalus,2.5 - 3.5 cm,Forest streams in the Western Ghats,"Silent Valley National Park, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Micrixalus uttaraghati,Micrixalus,2.5 - 3.5 cm,Forest streams in the Western Ghats,"Uttaraghati, Karnataka, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Melanobatrachus indicus,Micrixalus,3.5 - 4.5 cm,Forest streams in the Western Ghats,"Silent Valley National Park, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Kaloula pulchra,Melanobatrachus,3.5 - 4.5 cm,Forest streams in the Western Ghats,"Silent Valley National Park, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Microhyla darreli,Kaloula,3.5 - 4.5 cm,Forest streams in the Western Ghats,"Silent Valley National Park, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Microhyla nilphamariensis,Microhyla ,3.5 - 4.5 cm,Forest streams in the Western Ghats,"Nilhamanari, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Microhyla ornata,Microhyla ,3.5 - 4.5 cm,Forest streams in the Western Ghats,"Silent Valley National Park, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Microhyla rubra,Microhyla ,3.5 - 4.5 cm,Forest streams in the Western Ghats,"Silent Valley National Park, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Mysticellus franki,Microhyla ,3.5 - 4.5 cm,Forest streams in the Western Ghats,"Silent Valley National Park, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Uperodon anamalaiensis,Mysticellus ,3.5 - 4.5 cm,Forest streams in the Western Ghats,"Anamalai Hills, Tamil Nadu, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Uperodon montanus,Uperodon ,3.5 - 4.5 cm,Forest streams in the Western Ghats,"Silent Valley National Park, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Uperodon taprobanicus,Uperodon ,3.5 - 5.5 cm,"Lowland forests, grasslands, and agricultural areas",Sri Lanka,"Southern India, Sri Lanka","Near water bodies, in temporary pools, and paddy fields","Stout body, smooth skin, with brownish or yellowish coloration",Least Concern,Non Endemic
Uperodon triangularis,Uperodon ,5 - 6 cm,Moist lowland forests and subtropical or tropical moist montane forests,Not specified,Southern India,"Under leaf litter, near water bodies during monsoon","Triangular-shaped body, variable coloration",Least Concern,Endemic to Southern India
Uperodon variegatus,Uperodon ,4 - 5 cm,Dry forests and scrublands,Not specified,Central and Southern India,"Under logs, near water bodies during monsoon",Variegated coloration with dark and light patches,Least Concern,Endemic to India
Nasikabatrachus bhupathi,Uperodon ,6 - 7 cm,Montane forests,"Western Ghats, Tamil Nadu, India",Western Ghats,"Underground, emerges during monsoon","Purple skin, pig-like snout",Endangered,Endemic to the Western Ghats
Nasikabatrachus sahyadrensis,Uperodon ,7 - 9 cm,Montane forests,"Western Ghats, Kerala, India",Western Ghats,"Underground, emerges during monsoon","Purple skin, unique shape",Endangered,Endemic to the Western Ghats
Astrobatrachus kurichiyana,Nasikabatrachus,2 - 3 cm,Montane evergreen forests,"Kurichiyarmala, Kerala, India",Western Ghats,Leaf litter in forest floors,"Small size, orange coloration",Not Evaluated,Endemic to the Western Ghats
Nyctibatrachus acanthodermis,Nasikabatrachus,3 - 4 cm,Tropical moist lowland forests,"Agasthyamalai Hills, Kerala, India",Western Ghats,Near streams in dense forests,"Rough, spiny skin; brown coloration",Endangered,Endemic to the Western Ghats
Nyctibatrachus aliciae,Astrobatrachus ,4 - 5 cm,Montane forests,"Western Ghats, India",Western Ghats,Near streams in montane forests,Brown skin with smooth texture,Vulnerable,Endemic to the Western Ghats
Nyctibatrachus anamallaiensis,Nyctibatrachus,3 - 4 cm,Montane forests,"Anamalai Hills, Tamil Nadu, India",Western Ghats,In leaf litter near streams,"Small size, dark brown color",Vulnerable,Endemic to the Western Ghats
Nyctibatrachus athirappillyensis,Nyctibatrachus,4 - 5 cm,Evergreen forests,"Athirappilly, Kerala, India",Western Ghats,Near waterfalls and streams,"Robust body, dark brown color",Endangered,Endemic to the Western Ghats
Nyctibatrachus beddomii,Nyctibatrachus,4 - 5 cm,Subtropical or tropical moist lowland forests,"Western Ghats, India",Western Ghats,In forests near water bodies,"Small size, brown color with lighter underparts",Least Concern,Endemic to the Western Ghats
Nyctibatrachus danieli,Nyctibatrachus,3 - 4 cm,Montane forests,"Western Ghats, Maharashtra, India",Western Ghats,Near streams and water bodies in forests,"Brown skin, large eyes",Vulnerable,Endemic to the Western Ghats
Nyctibatrachus dattatreyaensis,Nyctibatrachus,3.5 - 4.5 cm,Montane forests,"Western Ghats, India",Western Ghats,Near montane streams,"Dark brown skin, granular texture",Endangered,Endemic to the Western Ghats
Nyctibatrachus deccanensis,Nyctibatrachus,2.5 - 3.5 cm,Tropical moist lowland forests,"Deccan Plateau, India",Western Ghats,Forest floors near streams,"Small size, dark color",Near Threatened,Endemic to the Western Ghats
Nyctibatrachus gavi,Nyctibatrachus,3 - 4 cm,Montane forests,"Gavi, Kerala, India",Western Ghats,In dense forests near streams,"Small size, brown skin with lighter underparts",Endangered,Endemic to the Western Ghats
Nyctibatrachus grandis,Nyctibatrachus,5 - 6 cm,Montane forests,"Western Ghats, India",Western Ghats,Near water bodies in montane forests,"Large size, brown color",Vulnerable,Endemic to the Western Ghats
Nyctibatrachus humayuni,Nyctibatrachus,3 - 4 cm,Montane forests,"Matheran, Maharashtra, India",Western Ghats,Near small streams in montane forests,"Brown skin, slightly rough texture",Vulnerable,Endemic to the Western Ghats
Nyctibatrachus indraneili,Nyctibatrachus,3 - 4.5 cm,Montane forests,"Western Ghats, India",Western Ghats,Near streams and forest floors,Brown skin with dark spots,Endangered,Endemic to the Western Ghats
Nyctibatrachus jog,Nyctibatrachus,3 - 4 cm,Montane forests,"Jog Falls, Karnataka, India",Western Ghats,Near streams in dense forests,"Small size, brown color with granular skin",Endangered,Endemic to the Western Ghats
Nyctibatrachus karnatakaensis,Nyctibatrachus,3 - 4 cm,Evergreen forests,"Karnataka, India",Western Ghats,In evergreen forests near streams,"Brown color, rough skin",Vulnerable,Endemic to the Western Ghats
Nyctibatrachus kempholeyensis,Nyctibatrachus,3.5 - 4.5 cm,Tropical moist lowland forests,"Kempuhole, Karnataka, India",Western Ghats,Near streams and water bodies,"Granular skin, dark brown color",Vulnerable,Endemic to the Western Ghats
Nyctibatrachus kumbara,Nyctibatrachus,4 - 5 cm,Montane forests,"Western Ghats, Karnataka, India",Western Ghats,Near streams in montane forests,"Large size, brown skin with lighter underparts",Endangered,Endemic to the Western Ghats
Nyctibatrachus major,Nyctibatrachus,5 - 6 cm,Montane forests,"Western Ghats, India",Western Ghats,Near water bodies in montane regions,"Large size, dark brown color",Vulnerable,Endemic to the Western Ghats
Nyctibatrachus manalari,Nyctibatrachus,3.5 - 4.5 cm,Montane forests,"Manalar, Tamil Nadu, India",Western Ghats,Near streams in dense forests,"Brown skin, granular texture",Endangered,Endemic to the Western Ghats
Nyctibatrachus mewasinghi,Nyctibatrachus,3 - 4 cm,Montane forests,"Western Ghats, India",Western Ghats,Near streams in montane regions,"Brown color, slightly rough skin",Endangered,Endemic to the Western Ghats
Nyctibatrachus minimus,Nyctibatrachus,1 - 2 cm,Montane forests,"Western Ghats, Kerala, India",Western Ghats,In leaf litter near streams,"Extremely small size, brown color",Vulnerable,Endemic to the Western Ghats
Nyctibatrachus petraeus,Nyctibatrachus,3 - 4 cm,Montane forests,"Western Ghats, India",Western Ghats,On wet rocks near streams,Brown with a rough texture,Endangered,Endemic to the Western Ghats
Nyctibatrachus poocha,Nyctibatrachus,3 - 4 cm,Montane forests,"Western Ghats, Kerala, India",Western Ghats,In dense forests near water bodies,Brown with granular skin,Vulnerable,Endemic to the Western Ghats
Nyctibatrachus pulivijayani,Nyctibatrachus,3.5 - 4.5 cm,Montane forests,"Western Ghats, India",Western Ghats,Near streams in dense forests,"Granular skin, brown color",Endangered,Endemic to the Western Ghats
Nyctibatrachus radcliffei,Nyctibatrachus,3 - 4 cm,Montane forests,"Western Ghats, Tamil Nadu, India",Western Ghats,Near streams and on wet rocks,Brown with rough skin,Vulnerable,Endemic to the Western Ghats
Nyctibatrachus robinmoorei,Nyctibatrachus,3 - 4 cm,Montane forests,"Western Ghats, India",Western Ghats,Near streams in dense forests,Brown color with darker spots,Endangered,Endemic to the Western Ghats
Nyctibatrachus sabarimalai,Nyctibatrachus,3 - 4 cm,Montane forests,"Western Ghats, Kerala, India",Western Ghats,Near streams in dense forests,Dark brown with warty skin,Endangered,Endemic to the Western Ghats
