Name of the frogs,Genus,Size,Habitat,Type Locality,Localities,Where to Look,Key Features,IUCN Status,Endemic/Non Endemic
Nyctibatrachus sanctipalustris,Nyctibatrachus,2 - 3 cm,Swampy areas in forests,"Western Ghats, India",Western Ghats,In swampy areas near forest streams,"Small size, brown with darker spots",Vulnerable,Endemic to the Western Ghats
Nyctibatrachus shiradi,Nyctibatrachus,3 - 4 cm,Montane forests,"Western Ghats, India",Western Ghats,In leaf litter near streams,Brown with granular skin,Endangered,Endemic to the Western Ghats
Nyctibatrachus sylvaticus,Nyctibatrachus,3 - 4 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near forest streams and in leaf litter,Brown with rough skin,Endangered,Endemic to the Western Ghats
Nyctibatrachus tunga,Nyctibatrachus,3 - 4 cm,Montane forests,"Western Ghats, Karnataka, India",Western Ghats,In leaf litter near streams,"Brown with rough, warty skin",Endangered,Endemic to the Western Ghats
Nyctibatrachus vasanthi,Nyctibatrachus,2.5 - 3.5 cm,Montane forests,"Western Ghats, Tamil Nadu, India",Western Ghats,In dense forests near water bodies,"Small size, brown with darker spots",Vulnerable,Endemic to the Western Ghats
Nyctibatrachus vrijeuni,Nyctibatrachus,3 - 4 cm,Montane forests,"Western Ghats, India",Western Ghats,Near streams in dense forests,Dark brown with warty skin,Endangered,Endemic to the Western Ghats
Nyctibatrachus webilla,Nyctibatrachus,2.5 - 3.5 cm,Montane forests,"Western Ghats, India",Western Ghats,In dense forests near water bodies,"Small size, brown with lighter underparts",Vulnerable,Endemic to the Western Ghats
Clinotarsus curtipes,Nyctibatrachus,5 - 7 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near forest streams and ponds,Green with red spots on the limbs,Near Threatened,Endemic to the Western Ghats
Hylarana aurantiaca,Nyctibatrachus,4 - 6 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near forest streams and ponds,"Bright orange color, smooth skin",Endangered,Endemic to the Western Ghats
Hylarana bahuvistara,Nyctibatrachus,3.5 - 4.5 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near streams in dense forests,Brown with yellowish stripes,Vulnerable,Endemic to the Western Ghats
Hylarana caesari,Clinotarsus,4 - 5 cm,Lowland forests,"Western Ghats, India",Western Ghats,Near slow-moving streams,Olive green with brown spots,Near Threatened,Endemic to the Western Ghats
Hylarana doni,Hylarana,5 - 6 cm,Tropical moist forests,"Western Ghats, Tamil Nadu, India",Western Ghats,Near forest streams,Dark brown with a distinctive stripe,Endangered,Endemic to the Western Ghats
Hylarana flavescens,Hylarana,4 - 5 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near slow-moving water bodies,Yellowish-brown with a smooth texture,Vulnerable,Endemic to the Western Ghats
Hylarana indica,Hylarana,5 - 7 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near streams and ponds in forests,Olive green with dark spots,Endangered,Endemic to the Western Ghats
Hylarana intermedia,Hylarana,4 - 5 cm,Tropical moist forests,"Western Ghats, Karnataka, India",Western Ghats,Near forest streams,Brown with a yellowish underbelly,Vulnerable,Endemic to the Western Ghats
Hylarana magna,Hylarana,5 - 7 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near ponds and slow-moving streams,Dark brown with a smooth texture,Endangered,Endemic to the Western Ghats
Hylarana malabaricus,Hylarana,5 - 6 cm,Tropical moist forests,"Western Ghats, Kerala, India",Western Ghats,Near forest streams,Olive green with darker spots,Endangered,Endemic to the Western Ghats
Hylarana montana,Hylarana,4 - 5 cm,Montane forests,"Western Ghats, Tamil Nadu, India",Western Ghats,Near streams in montane forests,Brown with yellowish stripes,Vulnerable,Endemic to the Western Ghats
Hylarana sreeni,Hylarana,3 - 4 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near forest streams,"Small size, brown with dark spots",Vulnerable,Endemic to the Western Ghats
Hylarana urbis,Hylarana,4 - 5 cm,Urban and semi-urban areas near water bodies,"Western Ghats, India",Western Ghats,"Near ponds, ditches, and slow-moving streams",Brown with lighter stripes along the body,Near Threatened,Endemic to the Western Ghats
Indirana beddomii,Hylarana,3 - 4 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,"Near forest streams, especially during monsoon",Brown with a granular texture on the skin,Vulnerable,Endemic to the Western Ghats
Indirana bhadrai,Hylarana,3 - 4 cm,Moist deciduous forests,"Western Ghats, Karnataka, India",Western Ghats,Near streams in forested areas,"Small size, brown with distinct black spots",Endangered,Endemic to the Western Ghats
Indirana brachytarsus,Hylarana,2.5 - 3.5 cm,Montane forests,"Western Ghats, Kerala, India",Western Ghats,Near slow-moving streams and forest floors,"Small size, brown with fine spots",Endangered,Endemic to the Western Ghats
Indirana chiravasi,Indirana,3 - 4 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near forest streams,Brown with a granular texture on the skin,Vulnerable,Endemic to the Western Ghats
Indirana duboisi,Indirana,4 - 5 cm,Moist deciduous forests,"Western Ghats, Karnataka, India",Western Ghats,Near forest streams,Brown with distinct black spots and rough skin,Endangered,Endemic to the Western Ghats
Indirana gundia,Indirana,3 - 4 cm,Tropical moist forests,"Western Ghats, Karnataka, India",Western Ghats,Near forest streams and marshy areas,Brown with a rough texture on the skin,Endangered,Endemic to the Western Ghats
Indirana leithii,Indirana,3.5 - 4.5 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near slow-moving streams,Brown with lighter stripes and a rough texture,Vulnerable,Endemic to the Western Ghats
Indirana longicrus,Indirana,3 - 4 cm,Montane forests,"Western Ghats, India",Western Ghats,Near forest streams and leaf litter,"Long limbs, brown with darker spots",Vulnerable,Endemic to the Western Ghats
Indirana paramakri,Indirana,2.5 - 3.5 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near streams and forest floors,"Small size, brown with fine spotting",Endangered,Endemic to the Western Ghats
Indirana salelkari,Indirana,3.5 - 4.5 cm,Moist deciduous forests,"Western Ghats, Karnataka, India",Western Ghats,Near slow-moving streams,Brown with a granular texture,Endangered,Endemic to the Western Ghats
Indirana sarojamma,Indirana,4 - 5 cm,Montane forests,"Western Ghats, Kerala, India",Western Ghats,Near forest streams and leaf litter,Brown with darker patches,Vulnerable,Endemic to the Western Ghats
Indirana semipalmata,Indirana,2.5 - 3.5 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near slow-moving streams,Brown with fine spotting,Vulnerable,Endemic to the Western Ghats
Indirana tysoni,Indirana,3 - 4 cm,Moist deciduous forests,"Western Ghats, Karnataka, India",Western Ghats,Near streams in forested areas,"Small size, brown with distinct black spots",Endangered,Endemic to the Western Ghats
Indirana yadera,Indirana,3.5 - 4.5 cm,Montane forests,"Western Ghats, India",Western Ghats,Near forest streams and leaf litter,"Long limbs, brown with darker spots",Vulnerable,Endemic to the Western Ghats
Walkerana diplosticta,Indirana,3 - 4 cm,Tropical moist forests,"Western Ghats, Kerala, India",Western Ghats,Near streams in forested areas,Brown with granular skin and distinct spots,Endangered,Endemic to the Western Ghats
Walkerana leptodactyla,Indirana,3.5 - 4.5 cm,Montane forests,"Western Ghats, India",Western Ghats,Near forest streams,"Long, slender limbs, brown with lighter stripes",Vulnerable,Endemic to the Western Ghats
Walkerana muduga,Indirana,3 - 4 cm,Moist deciduous forests,"Western Ghats, Karnataka, India",Western Ghats,Near streams in forested areas,Brown with distinct black spots,Endangered,Endemic to the Western Ghats
Walkerana phrynoderma,Walkerana,3 - 4 cm,Tropical moist forests,"Western Ghats, Kerala, India",Western Ghats,Near slow-moving forest streams,"Granular skin, brown with lighter spots",Critically Endangered,Endemic to the Western Ghats
Beddomixalus bijui,Walkerana,3.5 - 4.5 cm,Montane forests,"Western Ghats, India",Western Ghats,On vegetation near streams,Brown with darker patterns and warty skin,Endangered,Endemic to the Western Ghats
Ghatixalus asterops,Walkerana,4 - 5 cm,Tropical evergreen forests,"Western Ghats, Kerala, India",Western Ghats,On leaves near streams,Greenish-brown with star-shaped spots,Vulnerable,Endemic to the Western Ghats
Ghatixalus magnus,Walkerana,5 - 6 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near forest streams,"Large size, brown with darker spots",Endangered,Endemic to the Western Ghats
Ghatixalus variabilis,Beddomixalus,4.5 - 5.5 cm,Montane forests,"Western Ghats, Karnataka, India",Western Ghats,On leaves and branches near streams,Brown with variable darker patterns,Vulnerable,Endemic to the Western Ghats
Mercurana myristicapalustris,Ghatixalus,2.5 - 3.5 cm,Swampy forest areas,"Western Ghats, Kerala, India",Western Ghats,Near swampy patches in forests,"Small size, greenish-brown with a smooth texture",Endangered,Endemic to the Western Ghats
Polypedates maculatus,Ghatixalus,6 - 7 cm,"Tropical moist deciduous forests, human habitations",India,Widespread across India,"On trees, walls, near water bodies","Large size, brown with dark spots, webbed feet",Least Concern,Non Endemic
Polypedates occidentalis,Ghatixalus,5.5 - 6.5 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,On trees and shrubs near water bodies,"Large size, brown with lighter stripes",Least Concern,Endemic to the Western Ghats
Polypedates pseudocruciger,Mercurana,5 - 6 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,On vegetation near streams,"Large size, brown with a cross-shaped mark on the back",Least Concern,Endemic to the Western Ghats
Pseudophilautus amboli,Polypedates ,3 - 4 cm,Montane forests,"Amboli, Maharashtra, India",Western Ghats,On leaves and shrubs in forested areas,"Small size, brown with a granular texture",Critically Endangered,Endemic to the Western Ghats
Pseudophilautus kani,Polypedates ,3 - 4 cm,Montane forests,"Kani, Kerala, India",Western Ghats,On leaves and shrubs in forested areas,"Small size, brown with darker markings",Endangered,Endemic to the Western Ghats
Pseudophilautus wynaadensis,Polypedates ,3 - 4 cm,Montane forests,"Wayanad, Kerala, India",Western Ghats,On leaves and shrubs in forested areas,"Small size, light brown with darker spots",Endangered,Endemic to the Western Ghats
Raorchestes agasthyaensis,Pseudophilautus,2.5 - 3 cm,Montane forests,"Agasthyakoodam, Kerala, India",Western Ghats,On vegetation near streams,"Small size, yellow-green with dark markings",Critically Endangered,Endemic to the Western Ghats
Raorchestes akroparallagi,Pseudophilautus,2.5 - 3 cm,Montane forests,"Akropar, Kerala, India",Western Ghats,On vegetation near streams,"Small size, brown with a distinct pattern",Endangered,Endemic to the Western Ghats
Raorchestes anili,Pseudophilautus,2 - 2.5 cm,Montane forests,"Agasthyakoodam, Kerala, India",Western Ghats,On vegetation near streams,"Very small size, yellow with dark spots",Critically Endangered,Endemic to the Western Ghats
Raorchestes annandalii,Raorchestes ,2.5 - 3 cm,Montane forests,"Anamudi, Kerala, India",Western Ghats,On vegetation near streams,"Small size, brown with a distinctive pattern",Endangered,Endemic to the Western Ghats
Raorchestes archeos,Raorchestes ,2 - 2.5 cm,Montane forests,"Munnar, Kerala, India",Western Ghats,On vegetation near streams,"Small size, green with darker markings",Critically Endangered,Endemic to the Western Ghats
Raorchestes aureus,Raorchestes ,2.5 - 3 cm,Montane forests,"Munnar, Kerala, India",Western Ghats,On vegetation near streams,"Small size, golden-yellow with dark spots",Endangered,Endemic to the Western Ghats
Raorchestes beddomii,Raorchestes ,3 - 4 cm,Montane forests,"Silent Valley, Kerala, India",Western Ghats,On vegetation near streams,"Medium size, brown with darker spots",Endangered,Endemic to the Western Ghats
Raorchestes blandus,Raorchestes ,2.5 - 3 cm,Montane forests,"Wayanad, Kerala, India",Western Ghats,On vegetation near streams,"Small size, light brown with a subtle pattern",Endangered,Endemic to the Western Ghats
Raorchestes bobingeri,Raorchestes ,2.5 - 3 cm,Montane forests,"Periyar, Kerala, India",Western Ghats,On vegetation near streams,"Small size, light brown with darker spots",Endangered,Endemic to the Western Ghats
Raorchestes bombayensis,Raorchestes ,2 - 2.5 cm,Montane forests,"Mumbai, Maharashtra, India",Western Ghats,On vegetation near streams,"Very small size, yellow-green with dark markings",Critically Endangered,Endemic to the Western Ghats
Raorchestes chalazodes,Raorchestes ,2.5 - 3 cm,Montane forests,"Agasthyakoodam, Kerala, India",Western Ghats,On vegetation near streams,"Small size, yellow with a distinct pattern",Endangered,Endemic to the Western Ghats
Raorchestes charius,Raorchestes ,2.5 - 3 cm,Montane forests,"Wayanad, Kerala, India",Western Ghats,On vegetation near streams,"Small size, green with dark spots",Endangered,Endemic to the Western Ghats
Raorchestes chlorosomma,Raorchestes ,2 - 2.5 cm,Montane forests,"Munnar, Kerala, India",Western Ghats,On vegetation near streams,"Small size, green with a distinctive pattern",Critically Endangered,Endemic to the Western Ghats
Raorchestes chotta,Raorchestes ,2 - 2.5 cm,Montane forests,"Agasthyakoodam, Kerala, India",Western Ghats,On vegetation near streams,"Very small size, brown with darker spots",Endangered,Endemic to the Western Ghats
Raorchestes chromasynchysi,Raorchestes ,2.5 - 3 cm,Montane forests,"Silent Valley, Kerala, India",Western Ghats,On vegetation near streams,"Small size, brown with a distinctive pattern",Endangered,Endemic to the Western Ghats
Raorchestes coonoorensis,Raorchestes ,2.5 - 3 cm,Montane forests,"Coonoor, Tamil Nadu, India",Western Ghats,On vegetation near streams,"Small size, light brown with dark markings",Endangered,Endemic to the Western Ghats
Raorchestes crustai,Raorchestes ,2.5 - 3 cm,Montane forests,"Munnar, Kerala, India",Western Ghats,On vegetation near streams,"Small size, brown with a granular texture",Critically Endangered,Endemic to the Western Ghats
Raorchestes dubois,Raorchestes ,2.5 - 3 cm,Montane forests,"Agasthyakoodam, Kerala, India",Western Ghats,On vegetation near streams,"Small size, light brown with a distinctive pattern",Endangered,Endemic to the Western Ghats
Raorchestes echinatus,Raorchestes ,2.5 - 3 cm,Montane forests,"Munnar, Kerala, India",Western Ghats,On vegetation near streams,"Small size, yellow-green with spiny texture",Endangered,Endemic to the Western Ghats
Raorchestes flaviventris,Raorchestes ,2.5 - 3 cm,Montane forests,"Wayanad, Kerala, India",Western Ghats,On vegetation near streams,"Small size, bright yellow with dark markings",Endangered,Endemic to the Western Ghats
Raorchestes ghatei,Raorchestes ,2.5 - 3 cm,Montane forests,"Sahyadri, Maharashtra, India",Western Ghats,On vegetation near streams,"Small size, green with dark spots",Critically Endangered,Endemic to the Western Ghats
Raorchestes glandulosus,Raorchestes ,2.5 - 3 cm,Montane forests,"Munnar, Kerala, India",Western Ghats,On vegetation near streams,"Small size, brown with glandular texture",Endangered,Endemic to the Western Ghats
Raorchestes graminirupes,Raorchestes ,2.5 - 3 cm,Montane forests,"Agasthyakoodam, Kerala, India",Western Ghats,On vegetation near streams,"Small size, green with a subtle pattern",Endangered,Endemic to the Western Ghats
Raorchestes griet,Raorchestes ,2 - 2.5 cm,Montane forests,"Munnar, Kerala, India",Western Ghats,On vegetation near streams,"Very small size, light green with dark markings",Critically Endangered,Endemic to the Western Ghats
Raorchestes hassanensis,Raorchestes ,2.5 - 3 cm,Montane forests,"Hassan, Karnataka, India",Western Ghats,On vegetation near streams,"Small size, brown with a distinct pattern",Endangered,Endemic to the Western Ghats
Raorchestes honnametti,Raorchestes ,2.5 - 3 cm,Montane forests,"Honnametti, Karnataka, India",Western Ghats,On vegetation near streams,"Small size, green with dark spots",Endangered,Endemic to the Western Ghats
Raorchestes indigo,Raorchestes ,2 - 2.5 cm,Montane forests,"Munnar, Kerala, India",Western Ghats,On vegetation near streams,"Very small size, blue with dark markings",Critically Endangered,Endemic to the Western Ghats
Raorchestes jayarami ,Raorchestes ,2.5 - 3 cm,Montane forests,"Jayarami, Tamil Nadu, India",Western Ghats,On vegetation near streams,"Small size, brown with a distinctive pattern",Endangered,Endemic to the Western Ghats
Raorchestes johnceei,Raorchestes ,2.5 - 3 cm,Montane forests,"Kudremukh, Karnataka, India",Western Ghats,On vegetation near streams,"Small size, light brown with distinct markings",Endangered,Endemic to the Western Ghats
Raorchestes kadalarensis,Raorchestes ,2.5 - 3 cm,Montane forests,"Kadalar, Kerala, India",Western Ghats,On vegetation near streams,"Small size, brown with dark markings",Critically Endangered,Endemic to the Western Ghats
Raorchestes kaikatti,Raorchestes ,2 - 2.5 cm,Montane forests,"Kaikatti, Kerala, India",Western Ghats,On vegetation near streams,"Very small size, green with brown spots",Critically Endangered,Endemic to the Western Ghats
Raorchestes kakachi,Raorchestes ,2.5 - 3 cm,Montane forests,"Kakachi, Kerala, India",Western Ghats,On vegetation near streams,"Small size, brown with distinctive markings",Endangered,Endemic to the Western Ghats
Raorchestes kakkayamensis,Raorchestes ,2.5 - 3 cm,Montane forests,"Kakkayam, Kerala, India",Western Ghats,On vegetation near streams,"Small size, brown with granular texture",Endangered,Endemic to the Western Ghats
Raorchestes leucolatus,Raorchestes ,2.5 - 3 cm,Montane forests,"Munnar, Kerala, India",Western Ghats,On vegetation near streams,"Small size, white with light brown spots",Endangered,Endemic to the Western Ghats
Raorchestes luteolus,Raorchestes ,2 - 2.5 cm,Montane forests,"Wayanad, Kerala, India",Western Ghats,On vegetation near streams,"Very small size, yellow with brown markings",Critically Endangered,Endemic to the Western Ghats
Raorchestes manohari,Raorchestes ,2.5 - 3 cm,Montane forests,"Manohari, Tamil Nadu, India",Western Ghats,On vegetation near streams,"Small size, brown with a distinct pattern",Endangered,Endemic to the Western Ghats
Raorchestes marki,Raorchestes ,2.5 - 3 cm,Montane forests,"Munnar, Kerala, India",Western Ghats,On vegetation near streams,"Small size, green with dark markings",Endangered,Endemic to the Western Ghats
Raorchestes munnarensis,Raorchestes ,2.5 - 3 cm,Montane forests,"Munnar, Kerala, India",Western Ghats,On vegetation near streams,"Small size, brown with a granular texture",Endangered,Endemic to the Western Ghats
Raorchestes nerostagona,Raorchestes ,2.5 - 3 cm,Montane forests,"Patti, Tamil Nadu, India",Western Ghats,On vegetation near streams,"Small size, brown with distinct markings",Endangered,Endemic to the Western Ghats
Raorchestes penthacanthus,Raorchestes ,2.5 - 3 cm,Montane forests,"Munnar, Kerala, India",Western Ghats,On vegetation near streams,"Small size, brown with five prominent warts",Endangered,Endemic to the Western Ghats
Raorchestes nerostagona,Raorchestes ,2.5 - 3 cm,Montane forests,"Nerostagona, Kerala, India",Western Ghats,On vegetation near streams,"Small size, brown with distinct markings",Endangered,Endemic to the Western Ghats
Raorchestes ochlandrae,Raorchestes ,2.5 - 3 cm,Montane forests,"Ongole, Andhra Pradesh, India",Western Ghats,On vegetation near streams,"Small size, yellow-green with dark spots",Critically Endangered,Endemic to the Western Ghats
Raorchestes ponmud,Raorchestes ,2 - 2.5 cm,Montane forests,"Ponmud, Kerala, India",Western Ghats,On vegetation near streams,"Very small size, light brown with dark markings",Critically Endangered,Endemic to the Western Ghats
Raorchestes primarrumpf,Raorchestes ,2.5 - 3 cm,Montane forests,"Munnar, Kerala, India",Western Ghats,On vegetation near streams,"Small size, brown with a distinctive pattern",Endangered,Endemic to the Western Ghats
Raorchestes ravii,Raorchestes ,2.5 - 3 cm,Montane forests,"Agasthyakoodam, Kerala, India",Western Ghats,On vegetation near streams,"Small size, light green with dark spots",Critically Endangered,Endemic to the Western Ghats
Raorchestes resplendens,Raorchestes ,2.5 - 3 cm,Montane forests,"Wayanad, Kerala, India",Western Ghats,On vegetation near streams,"Small size, vibrant yellow with brown markings",Endangered,Endemic to the Western Ghats
Raorchestes sanjappai,Raorchestes ,2.5 - 3 cm,Montane forests,"Sanjappai, Tamil Nadu, India",Western Ghats,On vegetation near streams,"Small size, brown with a distinct pattern",Endangered,Endemic to the Western Ghats
Raorchestes signatus,Raorchestes ,2.5 - 3 cm,Montane forests,"Munnar, Kerala, India",Western Ghats,On vegetation near streams,"Small size, green with distinct markings",Endangered,Endemic to the Western Ghats
Raorchestes silentvalley,Raorchestes ,2.5 - 3 cm,Montane forests,"Silent Valley, Kerala, India",Western Ghats,On vegetation near streams,"Small size, brown with a granular texture",Critically Endangered,Endemic to the Western Ghats
Raorchestes sushili,Raorchestes ,2.5 - 3 cm,Montane forests,"Sushili, Tamil Nadu, India",Western Ghats,On vegetation near streams,"Small size, light brown with dark spots",Endangered,Endemic to the Western Ghats
Raorchestes theuerkaufi,Raorchestes ,2.5 - 3 cm,Montane forests,"Munnar, Kerala, India",Western Ghats,On vegetation near streams,"Small size, brown with distinct markings",Critically Endangered,Endemic to the Western Ghats
Raorchestes thodai,Raorchestes ,2.5 - 3 cm,Montane forests,"Thodai, Kerala, India",Western Ghats,On vegetation near streams,"Small size, brown with a granular texture",Endangered,Endemic to the Western Ghats
Raorchestes tinniens,Raorchestes ,2.5 - 3 cm,Montane forests,"Munnar, Kerala, India",Western Ghats,On vegetation near streams,"Small size, light brown with dark markings",Endangered,Endemic to the Western Ghats
Raorchestes travancoricus,Raorchestes ,2.5 - 3 cm,Montane forests,"Travancore, Kerala, India",Western Ghats,On vegetation near streams,"Small size, green with dark spots",Critically Endangered,Endemic to the Western Ghats
Raorchestes tuberohumerus,Raorchestes ,2.5 - 3 cm,Montane forests,"Munnar, Kerala, India",Western Ghats,On vegetation near streams,"Small size, brown with tuberculated texture",Endangered,Endemic to the Western Ghats
Raorchestes uthamani,Raorchestes ,2.5 - 3 cm,Montane forests,"Uthamapalayam, Tamil Nadu, India",Western Ghats,On vegetation near streams,"Small size, brown with distinct markings",Endangered,Endemic to the Western Ghats
Raorchestes vellikkannan,Raorchestes ,2.5 - 3 cm,Montane forests,"Vellikkannan, Kerala, India",Western Ghats,On vegetation near streams,"Small size, green with brown spots",Critically Endangered,Endemic to the Western Ghats
Rhacophorus calcadensis,Rhacophorus,4 - 5 cm,Forests and wetlands,"Calicut, Kerala, India",Western Ghats,On trees and vegetation near water bodies,"Medium size, green with dark spots",Least Concern,Endemic to the Western Ghats
Rhacophorus lateralis,Rhacophorus,4 - 5 cm,Forests and wetlands,"Malabar, Kerala, India",Western Ghats,On trees and vegetation near water bodies,"Medium size, brown with lateral stripes",Least Concern,Endemic to the Western Ghats
Rhacophorus malabaricus,Rhacophorus,4 - 5 cm,Forests and wetlands,"Malabar, Kerala, India",Western Ghats,On trees and vegetation near water bodies,"Medium size, green with dark markings",Least Concern,Endemic to the Western Ghats
Rhacophorus pseudomalabaricus,Rhacophorus,4 - 5 cm,Forests and wetlands,"Munnar, Kerala, India",Western Ghats,On trees and vegetation near water bodies,"Medium size, green with light brown spots",Least Concern,Endemic to the Western Ghats
